instance_name,source_name,item_name,item_quality,item_id,url
World Bosses,Doom Lord Kazzak,Ancient Spellcloak of the Highborne,epic,30735,https://tbc.wowhead.com/item=30735
World Bosses,Doom Lord Kazzak,Exodar Life-Staff,epic,30732,https://tbc.wowhead.com/item=30732
World Bosses,Doom Lord Kazzak,Gold-Leaf Wildboots,epic,30737,https://tbc.wowhead.com/item=30737
World Bosses,Doom Lord Kazzak,Hope Ender,epic,30733,https://tbc.wowhead.com/item=30733
World Bosses,Doom Lord Kazzak,Leggings of the Seventh Circle,epic,30734,https://tbc.wowhead.com/item=30734
World Bosses,Doom Lord Kazzak,Ring of Flowing Light,epic,30736,https://tbc.wowhead.com/item=30736
World Bosses,Doom Lord Kazzak,Ring of Reciprocity,epic,30738,https://tbc.wowhead.com/item=30738
World Bosses,Doom Lord Kazzak,Ripfiend Shoulderplates,epic,30740,https://tbc.wowhead.com/item=30740
World Bosses,Doom Lord Kazzak,Scaled Greaves of the Marksman,epic,30739,https://tbc.wowhead.com/item=30739
World Bosses,Doom Lord Kazzak,Topaz-Studded Battlegrips,epic,30741,https://tbc.wowhead.com/item=30741
World Bosses,Doomwalker,Anger-Spark Gloves,epic,30725,https://tbc.wowhead.com/item=30725
World Bosses,Doomwalker,Archaic Charm of Presence,epic,30726,https://tbc.wowhead.com/item=30726
World Bosses,Doomwalker,Barrel-Blade Longrifle,epic,30724,https://tbc.wowhead.com/item=30724
World Bosses,Doomwalker,Black-Iron Battlecloak,epic,30729,https://tbc.wowhead.com/item=30729
World Bosses,Doomwalker,Ethereum Nexus-Reaver,epic,30722,https://tbc.wowhead.com/item=30722
World Bosses,Doomwalker,Faceguard of the Endless Watch,epic,30731,https://tbc.wowhead.com/item=30731
World Bosses,Doomwalker,Fathom-Helm of the Deeps,epic,30728,https://tbc.wowhead.com/item=30728
World Bosses,Doomwalker,Gilded Trousers of Benediction,epic,30727,https://tbc.wowhead.com/item=30727
World Bosses,Doomwalker,Talon of the Tempest,epic,30723,https://tbc.wowhead.com/item=30723
World Bosses,Doomwalker,Terrorweave Tunic,epic,30730,https://tbc.wowhead.com/item=30730
Sunwell Plateau,Trash Drop,Blade of Life's Inevitability,epic,34349,https://tbc.wowhead.com/item=34349
Sunwell Plateau,Trash Drop,Gauntlets of the Ancient Shadowmoon,epic,34350,https://tbc.wowhead.com/item=34350
Sunwell Plateau,Trash Drop,Mounting Vengeance,epic,34346,https://tbc.wowhead.com/item=34346
Sunwell Plateau,Trash Drop,Ring of Harmonic Beauty,epic,35733,https://tbc.wowhead.com/item=35733
Sunwell Plateau,Trash Drop,Shivering Felspine,epic,34183,https://tbc.wowhead.com/item=34183
Sunwell Plateau,Trash Drop,Tranquil Majesty Wraps,epic,34351,https://tbc.wowhead.com/item=34351
Sunwell Plateau,Trash Drop,Wand of Cleansing Light,epic,34348,https://tbc.wowhead.com/item=34348
Sunwell Plateau,Trash Drop,Wand of the Demonsoul,epic,34347,https://tbc.wowhead.com/item=34347
Sunwell Plateau,Recipes,Design: Amulet of Flowing Life,epic,35202,https://tbc.wowhead.com/item=35202
Sunwell Plateau,Recipes,Design: Hard Khorium Band,epic,35200,https://tbc.wowhead.com/item=35200
Sunwell Plateau,Recipes,Design: Hard Khorium Choker,epic,35203,https://tbc.wowhead.com/item=35203
Sunwell Plateau,Recipes,Design: Loop of Forged Power,epic,35198,https://tbc.wowhead.com/item=35198
Sunwell Plateau,Recipes,Design: Pendant of Sunfire,epic,35201,https://tbc.wowhead.com/item=35201
Sunwell Plateau,Recipes,Design: Ring of Flowing Life,epic,35199,https://tbc.wowhead.com/item=35199
Sunwell Plateau,Recipes,Pattern: Carapace of Sun and Shadow,epic,35218,https://tbc.wowhead.com/item=35218
Sunwell Plateau,Recipes,Pattern: Embrace of the Phoenix,epic,35217,https://tbc.wowhead.com/item=35217
Sunwell Plateau,Recipes,Pattern: Fletcher's Gloves of the Phoenix,epic,35213,https://tbc.wowhead.com/item=35213
Sunwell Plateau,Recipes,Pattern: Gloves of Immortal Dusk,epic,35214,https://tbc.wowhead.com/item=35214
Sunwell Plateau,Recipes,Pattern: Hands of Eternal Light,epic,35205,https://tbc.wowhead.com/item=35205
Sunwell Plateau,Recipes,Pattern: Leather Chestguard of the Sun,epic,35216,https://tbc.wowhead.com/item=35216
Sunwell Plateau,Recipes,Pattern: Leather Gauntlets of the Sun,epic,35212,https://tbc.wowhead.com/item=35212
Sunwell Plateau,Recipes,Pattern: Robe of Eternal Light,epic,35207,https://tbc.wowhead.com/item=35207
Sunwell Plateau,Recipes,Pattern: Sun-Drenched Scale Chestguard,epic,35219,https://tbc.wowhead.com/item=35219
Sunwell Plateau,Recipes,Pattern: Sun-Drenched Scale Gloves,epic,35215,https://tbc.wowhead.com/item=35215
Sunwell Plateau,Recipes,Pattern: Sunfire Handwraps,epic,35204,https://tbc.wowhead.com/item=35204
Sunwell Plateau,Recipes,Pattern: Sunfire Robe,epic,35206,https://tbc.wowhead.com/item=35206
Sunwell Plateau,Recipes,Plans: Hard Khorium Battlefists,epic,35209,https://tbc.wowhead.com/item=35209
Sunwell Plateau,Recipes,Plans: Hard Khorium Battleplate,epic,35211,https://tbc.wowhead.com/item=35211
Sunwell Plateau,Recipes,Plans: Sunblessed Breastplate,epic,35210,https://tbc.wowhead.com/item=35210
Sunwell Plateau,Recipes,Plans: Sunblessed Gauntlets,epic,35208,https://tbc.wowhead.com/item=35208
Sunwell Plateau,Recipes,Schematic: Annihilator Holo-Gogs,epic,35186,https://tbc.wowhead.com/item=35186
Sunwell Plateau,Recipes,Schematic: Hard Khorium Goggles,epic,35196,https://tbc.wowhead.com/item=35196
Sunwell Plateau,Recipes,Schematic: Hyper-Magnified Moon Specs,epic,35190,https://tbc.wowhead.com/item=35190
Sunwell Plateau,Recipes,Schematic: Lightning Etched Specs,epic,35193,https://tbc.wowhead.com/item=35193
Sunwell Plateau,Recipes,Schematic: Mayhem Projection Goggles,epic,35195,https://tbc.wowhead.com/item=35195
Sunwell Plateau,Recipes,Schematic: Powerheal 9000 Lens,epic,35189,https://tbc.wowhead.com/item=35189
Sunwell Plateau,Recipes,Schematic: Primal-Attuned Goggles,epic,35192,https://tbc.wowhead.com/item=35192
Sunwell Plateau,Recipes,Schematic: Surestrike Goggles v3.0,epic,35194,https://tbc.wowhead.com/item=35194
Sunwell Plateau,Kalecgos,Band of Lucent Beams,epic,34166,https://tbc.wowhead.com/item=34166
Sunwell Plateau,Kalecgos,Bracers of the Forgotten Conqueror,epic,34848,https://tbc.wowhead.com/item=34848
Sunwell Plateau,Kalecgos,Bracers of the Forgotten Protector,epic,34851,https://tbc.wowhead.com/item=34851
Sunwell Plateau,Kalecgos,Bracers of the Forgotten Vanquisher,epic,34852,https://tbc.wowhead.com/item=34852
Sunwell Plateau,Kalecgos,Breeches of Natural Aggression,epic,34169,https://tbc.wowhead.com/item=34169
Sunwell Plateau,Kalecgos,Dragonscale-Encrusted Longblade,epic,34164,https://tbc.wowhead.com/item=34164
Sunwell Plateau,Kalecgos,Fang of Kalecgos,epic,34165,https://tbc.wowhead.com/item=34165
Sunwell Plateau,Kalecgos,Legplates of the Holy Juggernaut,epic,34167,https://tbc.wowhead.com/item=34167
Sunwell Plateau,Kalecgos,Pantaloons of Calming Strife,epic,34170,https://tbc.wowhead.com/item=34170
Sunwell Plateau,Kalecgos,Starstalker Legguards,epic,34168,https://tbc.wowhead.com/item=34168
Sunwell Plateau,Brutallus,Belt of the Forgotten Conqueror,epic,34853,https://tbc.wowhead.com/item=34853
Sunwell Plateau,Brutallus,Belt of the Forgotten Protector,epic,34854,https://tbc.wowhead.com/item=34854
Sunwell Plateau,Brutallus,Belt of the Forgotten Vanquisher,epic,34855,https://tbc.wowhead.com/item=34855
Sunwell Plateau,Brutallus,Clutch of Demise,epic,34177,https://tbc.wowhead.com/item=34177
Sunwell Plateau,Brutallus,Collar of the Pit Lord,epic,34178,https://tbc.wowhead.com/item=34178
Sunwell Plateau,Brutallus,Felfury Legplates,epic,34180,https://tbc.wowhead.com/item=34180
Sunwell Plateau,Brutallus,Heart of the Pit,epic,34179,https://tbc.wowhead.com/item=34179
Sunwell Plateau,Brutallus,Leggings of Calamity,epic,34181,https://tbc.wowhead.com/item=34181
Sunwell Plateau,Brutallus,Reign of Misery,epic,34176,https://tbc.wowhead.com/item=34176
Sunwell Plateau,Felmyst,Boots of the Forgotten Conqueror,epic,34856,https://tbc.wowhead.com/item=34856
Sunwell Plateau,Felmyst,Boots of the Forgotten Protector,epic,34857,https://tbc.wowhead.com/item=34857
Sunwell Plateau,Felmyst,Boots of the Forgotten Vanquisher,epic,34858,https://tbc.wowhead.com/item=34858
Sunwell Plateau,Felmyst,Borderland Fortress Grips,epic,34352,https://tbc.wowhead.com/item=34352
Sunwell Plateau,Felmyst,Brooch of the Highborne,epic,34184,https://tbc.wowhead.com/item=34184
Sunwell Plateau,Felmyst,Chain Links of the Tumultuous Storm,epic,34186,https://tbc.wowhead.com/item=34186
Sunwell Plateau,Felmyst,Grand Magister's Staff of Torrents,epic,34182,https://tbc.wowhead.com/item=34182
Sunwell Plateau,Felmyst,Leggings of the Immortal Night,epic,34188,https://tbc.wowhead.com/item=34188
Sunwell Plateau,Felmyst,Sword Breaker's Bulwark,epic,34185,https://tbc.wowhead.com/item=34185
Sunwell Plateau,Eredar Twins,Amice of the Convoker,epic,34210,https://tbc.wowhead.com/item=34210
Sunwell Plateau,Eredar Twins,Amulet of Unfettered Magics,epic,34204,https://tbc.wowhead.com/item=34204
Sunwell Plateau,Eredar Twins,Archon's Gavel,epic,34199,https://tbc.wowhead.com/item=34199
Sunwell Plateau,Eredar Twins,Band of Ruinous Delight,epic,34189,https://tbc.wowhead.com/item=34189
Sunwell Plateau,Eredar Twins,Belt of the Forgotten Conqueror,epic,34853,https://tbc.wowhead.com/item=34853
Sunwell Plateau,Eredar Twins,Belt of the Forgotten Protector,epic,34854,https://tbc.wowhead.com/item=34854
Sunwell Plateau,Eredar Twins,Belt of the Forgotten Vanquisher,epic,34855,https://tbc.wowhead.com/item=34855
Sunwell Plateau,Eredar Twins,Book of Highborne Hymns,epic,34206,https://tbc.wowhead.com/item=34206
Sunwell Plateau,Eredar Twins,Boots of the Forgotten Conqueror,epic,34856,https://tbc.wowhead.com/item=34856
Sunwell Plateau,Eredar Twins,Boots of the Forgotten Protector,epic,34857,https://tbc.wowhead.com/item=34857
Sunwell Plateau,Eredar Twins,Boots of the Forgotten Vanquisher,epic,34858,https://tbc.wowhead.com/item=34858
Sunwell Plateau,Eredar Twins,Bracers of the Forgotten Conqueror,epic,34848,https://tbc.wowhead.com/item=34848
Sunwell Plateau,Eredar Twins,Bracers of the Forgotten Protector,epic,34851,https://tbc.wowhead.com/item=34851
Sunwell Plateau,Eredar Twins,Bracers of the Forgotten Vanquisher,epic,34852,https://tbc.wowhead.com/item=34852
Sunwell Plateau,Eredar Twins,Crimson Paragon's Cover,epic,34190,https://tbc.wowhead.com/item=34190
Sunwell Plateau,Eredar Twins,Equilibrium Epaulets,epic,34208,https://tbc.wowhead.com/item=34208
Sunwell Plateau,Eredar Twins,Golden Bow of Quel'Thalas,epic,34196,https://tbc.wowhead.com/item=34196
Sunwell Plateau,Eredar Twins,Grip of Mannoroth,epic,34203,https://tbc.wowhead.com/item=34203
Sunwell Plateau,Eredar Twins,Mantle of the Golden Forest,epic,34194,https://tbc.wowhead.com/item=34194
Sunwell Plateau,Eredar Twins,Pauldrons of Perseverance,epic,34192,https://tbc.wowhead.com/item=34192
Sunwell Plateau,Eredar Twins,Shawl of Wonderment,epic,34202,https://tbc.wowhead.com/item=34202
Sunwell Plateau,Eredar Twins,Shiv of Exsanguination,epic,34197,https://tbc.wowhead.com/item=34197
Sunwell Plateau,Eredar Twins,Shoulderpads of Vehemence,epic,34195,https://tbc.wowhead.com/item=34195
Sunwell Plateau,Eredar Twins,Shroud of Redeemed Souls,epic,34205,https://tbc.wowhead.com/item=34205
Sunwell Plateau,Eredar Twins,Sin'dorei Pendant of Conquest,epic,35290,https://tbc.wowhead.com/item=35290
Sunwell Plateau,Eredar Twins,Sin'dorei Pendant of Salvation,epic,35291,https://tbc.wowhead.com/item=35291
Sunwell Plateau,Eredar Twins,Sin'dorei Pendant of Triumph,epic,35292,https://tbc.wowhead.com/item=35292
Sunwell Plateau,Eredar Twins,Spaulders of Reclamation,epic,34209,https://tbc.wowhead.com/item=34209
Sunwell Plateau,Eredar Twins,Spaulders of the Thalassian Savior,epic,34193,https://tbc.wowhead.com/item=34193
Sunwell Plateau,Eredar Twins,Stanchion of Primal Instinct,epic,34198,https://tbc.wowhead.com/item=34198
Sunwell Plateau,M'uru,Aegis of Angelic Fortune,epic,34231,https://tbc.wowhead.com/item=34231
Sunwell Plateau,M'uru,Blackened Naaru Sliver,epic,34427,https://tbc.wowhead.com/item=34427
Sunwell Plateau,M'uru,Fel Conquerer Raiments,epic,34232,https://tbc.wowhead.com/item=34232
Sunwell Plateau,M'uru,Garments of Serene Shores,epic,34229,https://tbc.wowhead.com/item=34229
Sunwell Plateau,M'uru,Gauntlets of the Soothed Soul,epic,34240,https://tbc.wowhead.com/item=34240
Sunwell Plateau,M'uru,Glimmering Naaru Sliver,epic,34430,https://tbc.wowhead.com/item=34430
Sunwell Plateau,M'uru,Harness of Carnal Instinct,epic,34211,https://tbc.wowhead.com/item=34211
Sunwell Plateau,M'uru,Heroic Judicator's Chestguard,epic,34216,https://tbc.wowhead.com/item=34216
Sunwell Plateau,M'uru,Muramasa,epic,34214,https://tbc.wowhead.com/item=34214
Sunwell Plateau,M'uru,Ring of Hardened Resolve,epic,34213,https://tbc.wowhead.com/item=34213
Sunwell Plateau,M'uru,Ring of Omnipotence,epic,34230,https://tbc.wowhead.com/item=34230
Sunwell Plateau,M'uru,Robes of Faltered Light,epic,34233,https://tbc.wowhead.com/item=34233
Sunwell Plateau,M'uru,Shadowed Gauntlets of Paroxysm,epic,34234,https://tbc.wowhead.com/item=34234
Sunwell Plateau,M'uru,Shifting Naaru Sliver,epic,34429,https://tbc.wowhead.com/item=34429
Sunwell Plateau,M'uru,Sin'dorei Band of Dominance,epic,35282,https://tbc.wowhead.com/item=35282
Sunwell Plateau,M'uru,Sin'dorei Band of Salvation,epic,35283,https://tbc.wowhead.com/item=35283
Sunwell Plateau,M'uru,Sin'dorei Band of Triumph,epic,35284,https://tbc.wowhead.com/item=35284
Sunwell Plateau,M'uru,Steely Naaru Sliver,epic,34428,https://tbc.wowhead.com/item=34428
Sunwell Plateau,M'uru,Sunglow Vest,epic,34212,https://tbc.wowhead.com/item=34212
Sunwell Plateau,M'uru,Vicious Hawkstrider Hauberk,epic,34228,https://tbc.wowhead.com/item=34228
Sunwell Plateau,M'uru,Warharness of Reckless Fury,epic,34215,https://tbc.wowhead.com/item=34215
Sunwell Plateau,Kil'Jaeden,"Apolyon, the Soul-Render",epic,34247,https://tbc.wowhead.com/item=34247
Sunwell Plateau,Kil'Jaeden,Borderland Paingrips,epic,34341,https://tbc.wowhead.com/item=34341
Sunwell Plateau,Kil'Jaeden,Cloak of Unforgivable Sin,epic,34241,https://tbc.wowhead.com/item=34241
Sunwell Plateau,Kil'Jaeden,Coif of Alleria,epic,34333,https://tbc.wowhead.com/item=34333
Sunwell Plateau,Kil'Jaeden,Cover of Ursol the Wise,epic,34245,https://tbc.wowhead.com/item=34245
Sunwell Plateau,Kil'Jaeden,Cowl of Gul'dan,epic,34332,https://tbc.wowhead.com/item=34332
Sunwell Plateau,Kil'Jaeden,Cowl of Light's Purity,epic,34339,https://tbc.wowhead.com/item=34339
Sunwell Plateau,Kil'Jaeden,Crown of Anasterian,epic,34345,https://tbc.wowhead.com/item=34345
Sunwell Plateau,Kil'Jaeden,Crux of the Apocalypse,epic,34329,https://tbc.wowhead.com/item=34329
Sunwell Plateau,Kil'Jaeden,Dark Conjuror's Collar,epic,34340,https://tbc.wowhead.com/item=34340
Sunwell Plateau,Kil'Jaeden,Duplicitous Guise,epic,34244,https://tbc.wowhead.com/item=34244
Sunwell Plateau,Kil'Jaeden,Golden Staff of the Sin'dorei,epic,34337,https://tbc.wowhead.com/item=34337
Sunwell Plateau,Kil'Jaeden,Hammer of Sanctification,epic,34335,https://tbc.wowhead.com/item=34335
Sunwell Plateau,Kil'Jaeden,Hand of the Deceiver,epic,34331,https://tbc.wowhead.com/item=34331
Sunwell Plateau,Kil'Jaeden,Handguards of Defiled Worlds,epic,34344,https://tbc.wowhead.com/item=34344
Sunwell Plateau,Kil'Jaeden,Handguards of the Dawn,epic,34342,https://tbc.wowhead.com/item=34342
Sunwell Plateau,Kil'Jaeden,Helm of Burning Righteousness,epic,34243,https://tbc.wowhead.com/item=34243
Sunwell Plateau,Kil'Jaeden,Sunflare,epic,34336,https://tbc.wowhead.com/item=34336
Sunwell Plateau,Kil'Jaeden,Tattered Cape of Antonidas,epic,34242,https://tbc.wowhead.com/item=34242
Sunwell Plateau,Kil'Jaeden,Thalassian Ranger Gauntlets,epic,34343,https://tbc.wowhead.com/item=34343
Sunwell Plateau,Kil'Jaeden,"Thori'dal, the Stars' Fury",legendary,34334,https://tbc.wowhead.com/item=34334
Zul'Aman,Recipes,Formula: Enchant Weapon - Executioner,rare,33307,https://tbc.wowhead.com/item=33307
Zul'Aman,Timed Event,Amani Divining Staff,epic,33494,https://tbc.wowhead.com/item=33494
Zul'Aman,Timed Event,Amani War Bear,epic,33809,https://tbc.wowhead.com/item=33809
Zul'Aman,Timed Event,Cloak of Fiends,epic,33590,https://tbc.wowhead.com/item=33590
Zul'Aman,Timed Event,Cord of Braided Troll Hair,epic,33480,https://tbc.wowhead.com/item=33480
Zul'Aman,Timed Event,Elunite Imbued Leggings,epic,33971,https://tbc.wowhead.com/item=33971
Zul'Aman,Timed Event,Life-step Belt,epic,33483,https://tbc.wowhead.com/item=33483
Zul'Aman,Timed Event,Mana Attuned Band,epic,33497,https://tbc.wowhead.com/item=33497
Zul'Aman,Timed Event,Mantle of Ill Intent,epic,33489,https://tbc.wowhead.com/item=33489
Zul'Aman,Timed Event,Pauldrons of Stone Resolve,epic,33481,https://tbc.wowhead.com/item=33481
Zul'Aman,Timed Event,Rage,epic,33495,https://tbc.wowhead.com/item=33495
Zul'Aman,Timed Event,Shadowcaster's Drape,epic,33591,https://tbc.wowhead.com/item=33591
Zul'Aman,Timed Event,Shadowhunter's Treads,epic,33805,https://tbc.wowhead.com/item=33805
Zul'Aman,Timed Event,Signet of Eternal Life,epic,33500,https://tbc.wowhead.com/item=33500
Zul'Aman,Timed Event,Signet of Primal Wrath,epic,33496,https://tbc.wowhead.com/item=33496
Zul'Aman,Timed Event,Signet of the Last Defender,epic,33499,https://tbc.wowhead.com/item=33499
Zul'Aman,Timed Event,Signet of the Quiet Forest,epic,33498,https://tbc.wowhead.com/item=33498
Zul'Aman,Timed Event,Staff of Dark Mending,epic,33490,https://tbc.wowhead.com/item=33490
Zul'Aman,Timed Event,Trollbane,epic,33492,https://tbc.wowhead.com/item=33492
Zul'Aman,Timed Event,Tuskbreaker,epic,33491,https://tbc.wowhead.com/item=33491
Zul'Aman,Timed Event,Umbral Shiv,epic,33493,https://tbc.wowhead.com/item=33493
Zul'Aman,Nalorakk,Bladeangel's Money Belt,epic,33211,https://tbc.wowhead.com/item=33211
Zul'Aman,Nalorakk,Fury,epic,33640,https://tbc.wowhead.com/item=33640
Zul'Aman,Nalorakk,Fury of the Ursine,epic,33285,https://tbc.wowhead.com/item=33285
Zul'Aman,Nalorakk,Jungle Stompers,epic,33191,https://tbc.wowhead.com/item=33191
Zul'Aman,Nalorakk,Mask of Introspection,epic,33327,https://tbc.wowhead.com/item=33327
Zul'Aman,Nalorakk,Pauldrons of Primal Fury,epic,33206,https://tbc.wowhead.com/item=33206
Zul'Aman,Nalorakk,Robes of Heavenly Purpose,epic,33203,https://tbc.wowhead.com/item=33203
Zul'Aman,Jan'alai,Arrow-fall Chestguard,epic,33328,https://tbc.wowhead.com/item=33328
Zul'Aman,Jan'alai,Bulwark of the Amani Empire,epic,33326,https://tbc.wowhead.com/item=33326
Zul'Aman,Jan'alai,Enamelled Disc of Mojo,epic,33332,https://tbc.wowhead.com/item=33332
Zul'Aman,Jan'alai,Footpads of Madness,epic,33357,https://tbc.wowhead.com/item=33357
Zul'Aman,Jan'alai,Helm of Natural Regeneration,epic,33356,https://tbc.wowhead.com/item=33356
Zul'Aman,Jan'alai,Shadowtooth Trollskin Cuirass,epic,33329,https://tbc.wowhead.com/item=33329
Zul'Aman,Jan'alai,Wub's Cursed Hexblade,epic,33354,https://tbc.wowhead.com/item=33354
Zul'Aman,Akil'zon,Akil'zon's Talonblade,epic,33214,https://tbc.wowhead.com/item=33214
Zul'Aman,Akil'zon,Amani Punisher,epic,33283,https://tbc.wowhead.com/item=33283
Zul'Aman,Akil'zon,Bloodstained Elven Battlevest,epic,33215,https://tbc.wowhead.com/item=33215
Zul'Aman,Akil'zon,Brooch of Nature's Mercy,epic,33281,https://tbc.wowhead.com/item=33281
Zul'Aman,Akil'zon,Chestguard of Hidden Purpose,epic,33216,https://tbc.wowhead.com/item=33216
Zul'Aman,Akil'zon,Mojo-mender's Mask,epic,33286,https://tbc.wowhead.com/item=33286
Zul'Aman,Akil'zon,Signet of Ancient Magics,epic,33293,https://tbc.wowhead.com/item=33293
Zul'Aman,Halazzi,Avalanche Leggings,epic,33533,https://tbc.wowhead.com/item=33533
Zul'Aman,Halazzi,Robe of Departed Spirits,epic,33317,https://tbc.wowhead.com/item=33317
Zul'Aman,Halazzi,Shimmer-pelt Vest,epic,33322,https://tbc.wowhead.com/item=33322
Zul'Aman,Halazzi,Shoulderpads of Dancing Blades,epic,33300,https://tbc.wowhead.com/item=33300
Zul'Aman,Halazzi,Skullshatter Warboots,epic,33303,https://tbc.wowhead.com/item=33303
Zul'Aman,Halazzi,Spaulders of the Advocate,epic,33299,https://tbc.wowhead.com/item=33299
Zul'Aman,Halazzi,The Savage's Choker,epic,33297,https://tbc.wowhead.com/item=33297
Zul'Aman,Malacrass,Battleworn Tuskguard,epic,33421,https://tbc.wowhead.com/item=33421
Zul'Aman,Malacrass,Cloak of Ancient Rituals,epic,33592,https://tbc.wowhead.com/item=33592
Zul'Aman,Malacrass,Coif of the Jungle Stalker,epic,33432,https://tbc.wowhead.com/item=33432
Zul'Aman,Malacrass,Dagger of Bad Mojo,epic,33389,https://tbc.wowhead.com/item=33389
Zul'Aman,Malacrass,Girdle of Stromgarde's Hope,epic,33446,https://tbc.wowhead.com/item=33446
Zul'Aman,Malacrass,Heartless,epic,33388,https://tbc.wowhead.com/item=33388
Zul'Aman,Malacrass,Hex Lord's Voodoo Pauldrons,epic,33464,https://tbc.wowhead.com/item=33464
Zul'Aman,Malacrass,Hex Shrunken Head,epic,33829,https://tbc.wowhead.com/item=33829
Zul'Aman,Malacrass,Hood of Hexing,epic,33453,https://tbc.wowhead.com/item=33453
Zul'Aman,Malacrass,Hood of the Third Eye,epic,33463,https://tbc.wowhead.com/item=33463
Zul'Aman,Malacrass,Prowler's Strikeblade,epic,33298,https://tbc.wowhead.com/item=33298
Zul'Aman,Malacrass,Staff of Primal Fury,epic,33465,https://tbc.wowhead.com/item=33465
Zul'Aman,Malacrass,Tiny Voodoo Mask,epic,34029,https://tbc.wowhead.com/item=34029
Zul'Aman,Malacrass,Tome of Diabolic Remedy,epic,33828,https://tbc.wowhead.com/item=33828
Zul'Aman,Zul'jin,Ancient Amani Longbow,epic,33474,https://tbc.wowhead.com/item=33474
Zul'Aman,Zul'jin,Ancient Aqir Artifact,epic,33830,https://tbc.wowhead.com/item=33830
Zul'Aman,Zul'jin,Berserker's Call,epic,33831,https://tbc.wowhead.com/item=33831
Zul'Aman,Zul'jin,Blade of Twisted Visions,epic,33467,https://tbc.wowhead.com/item=33467
Zul'Aman,Zul'jin,Blood of Zul'jin,epic,33102,https://tbc.wowhead.com/item=33102
Zul'Aman,Zul'jin,Chestguard of the Warlord,epic,33473,https://tbc.wowhead.com/item=33473
Zul'Aman,Zul'jin,Cleaver of the Unforgiving,epic,33476,https://tbc.wowhead.com/item=33476
Zul'Aman,Zul'jin,Dark Blessing,epic,33468,https://tbc.wowhead.com/item=33468
Zul'Aman,Zul'jin,Grimgrin Faceguard,epic,33479,https://tbc.wowhead.com/item=33479
Zul'Aman,Zul'jin,Hauberk of the Empire's Champion,epic,33469,https://tbc.wowhead.com/item=33469
Zul'Aman,Zul'jin,"Jin'rohk, The Great Apocalypse",epic,33478,https://tbc.wowhead.com/item=33478
Zul'Aman,Zul'jin,Loop of Cursed Bones,epic,33466,https://tbc.wowhead.com/item=33466
Zul'Aman,Zul'jin,Two-toed Sandals,epic,33471,https://tbc.wowhead.com/item=33471
Black Temple,Trash Drop,Band of Devastation,epic,32526,https://tbc.wowhead.com/item=32526
Black Temple,Trash Drop,Blessed Band of Karabor,epic,32528,https://tbc.wowhead.com/item=32528
Black Temple / Hyjal Summit,Trash Drop,Boots of the Divine Light,epic,32609,https://tbc.wowhead.com/item=32609
Black Temple / Hyjal Summit,Trash Drop,Choker of Serrated Blades,epic,32591,https://tbc.wowhead.com/item=32591
